x,y,z,r,g,b
-0.875,-0.625,-0.125,151,151,151
-0.875,-0.625,0.125,151,151,151
-0.875,-0.625,0.375,151,151,151
-0.875,-0.625,0.625,151,151,151
-0.875,-0.625,0.875,151,151,151
-0.625,-0.625,-0.875,87,87,87
-0.625,-0.625,-0.625,87,87,87
-0.625,-0.625,-0.375,87,87,87
-0.625,-0.625,-0.125,87,87,87
-0.625,-0.625,0.125,87,87,87
-0.625,-0.625,0.375,87,87,87
-0.625,-0.625,0.625,87,87,87
-0.625,-0.625,0.875,87,87,87
-0.375,-0.625,-0.875,7,7,7
-0.375,-0.625,-0.625,7,7,7
-0.375,-0.625,-0.375,7,7,7
-0.375,-0.625,-0.125,7,7,7
-0.375,-0.625,0.125,7,7,7
-0.375,-0.625,0.375,7,7,7
-0.375,-0.625,0.625,7,7,7
-0.375,-0.625,0.875,7,7,7
-0.125,-0.625,-0.875,151,151,151
-0.125,-0.625,-0.625,151,151,151
-0.125,-0.625,-0.375,151,151,151
-0.125,-0.625,-0.125,151,151,151
-0.125,-0.625,0.125,151,151,151
-0.125,-0.625,0.375,151,151,151
-0.125,-0.625,0.625,151,151,151
-0.125,-0.625,0.875,151,151,151
0.125,-0.625,-0.875,87,87,87
0.125,-0.625,-0.625,87,87,87
0.125,-0.625,-0.375,87,87,87
0.125,-0.625,-0.125,87,87,87
0.125,-0.625,0.125,87,87,87
0.125,-0.625,0.375,87,87,87
0.125,-0.625,0.625,87,87,87
0.125,-0.625,0.875,87,87,87
0.375,-0.625,-0.875,51,51,51
0.375,-0.625,-0.625,51,51,51
0.375,-0.625,-0.375,51,51,51
0.375,-0.625,-0.125,51,51,51
0.375,-0.625,0.125,51,51,51
0.375,-0.625,0.375,51,51,51
0.375,-0.625,0.625,51,51,51
0.375,-0.625,0.875,51,51,51
0.625,-0.625,-0.875,51,51,51
0.625,-0.625,-0.625,51,51,51
0.625,-0.625,-0.375,51,51,51
0.625,-0.625,-0.125,51,51,51
0.625,-0.625,0.125,51,51,51
0.625,-0.625,0.375,51,51,51
0.625,-0.625,0.625,51,51,51
0.625,-0.625,0.875,51,51,51
0.875,-0.625,-0.875,87,87,87
0.875,-0.625,-0.625,87,87,87
0.875,-0.625,-0.375,87,87,87
0.875,-0.625,-0.125,87,87,87
0.875,-0.625,0.125,87,87,87
0.875,-0.625,0.375,87,87,87
0.875,-0.625,0.625,87,87,87
0.875,-0.625,0.875,87,87,87
-0.875,-0.375,-0.875,51,51,51
-0.875,-0.375,-0.625,51,51,51
-0.875,-0.375,-0.375,51,51,51
-0.875,-0.375,-0.125,51,51,51
-0.875,-0.375,0.125,51,51,51
-0.875,-0.375,0.375,51,51,51
-0.875,-0.375,0.625,51,51,51
-0.875,-0.375,0.875,51,51,51
-0.625,-0.375,-0.875,87,87,87
-0.625,-0.375,-0.625,87,87,87
-0.625,-0.375,-0.375,87,87,87
-0.625,-0.375,-0.125,87,87,87
-0.625,-0.375,0.125,87,87,87
-0.625,-0.375,0.375,87,87,87
-0.625,-0.375,0.625,87,87,87
-0.625,-0.375,0.875,87,87,87
-0.375,-0.375,-0.875,51,51,51
-0.375,-0.375,-0.625,51,51,51
-0.375,-0.375,-0.375,51,51,51
-0.375,-0.375,-0.125,51,51,51
-0.375,-0.375,0.125,51,51,51
-0.375,-0.375,0.375,51,51,51
-0.375,-0.375,0.625,51,51,51
-0.375,-0.375,0.875,51,51,51
-0.125,-0.375,-0.875,51,51,51
-0.125,-0.375,-0.625,51,51,51
-0.125,-0.375,-0.375,51,51,51
-0.125,-0.375,-0.125,51,51,51
-0.125,-0.375,0.125,51,51,51
-0.125,-0.375,0.375,51,51,51
-0.125,-0.375,0.625,51,51,51
-0.125,-0.375,0.875,51,51,51
0.125,-0.375,-0.875,7,7,7
0.125,-0.375,-0.625,7,7,7
0.125,-0.375,-0.375,7,7,7
0.125,-0.375,-0.125,7,7,7
0.125,-0.375,0.125,7,7,7
0.125,-0.375,0.375,7,7,7
0.125,-0.375,0.625,7,7,7
0.125,-0.375,0.875,7,7,7
0.375,-0.375,-0.875,87,87,87
0.375,-0.375,-0.625,87,87,87
0.375,-0.375,-0.375,87,87,87
0.375,-0.375,-0.125,87,87,87
0.375,-0.375,0.125,87,87,87
0.375,-0.375,0.375,87,87,87
0.375,-0.375,0.625,87,87,87
0.375,-0.375,0.875,87,87,87
0.625,-0.375,-0.875,51,51,51
0.625,-0.375,-0.625,51,51,51
0.625,-0.375,-0.375,51,51,51
0.625,-0.375,-0.125,51,51,51
0.625,-0.375,0.125,51,51,51
0.625,-0.375,0.375,51,51,51
0.625,-0.375,0.625,51,51,51
0.625,-0.375,0.875,51,51,51
0.875,-0.375,-0.875,87,87,87
0.875,-0.375,-0.625,87,87,87
0.875,-0.375,-0.375,87,87,87
0.875,-0.375,-0.125,87,87,87
0.875,-0.375,0.125,87,87,87
0.875,-0.375,0.375,87,87,87
0.875,-0.375,0.625,87,87,87
0.875,-0.375,0.875,87,87,87
-0.875,-0.125,-0.875,87,87,87
-0.875,-0.125,-0.625,87,87,87
-0.875,-0.125,-0.375,87,87,87
-0.875,-0.125,-0.125,87,87,87
-0.875,-0.125,0.125,87,87,87
-0.875,-0.125,0.375,87,87,87
-0.875,-0.125,0.625,87,87,87
-0.875,-0.125,0.875,87,87,87
-0.625,-0.125,-0.875,51,51,51
-0.625,-0.125,-0.625,51,51,51
-0.625,-0.125,-0.375,51,51,51
-0.625,-0.125,-0.125,51,51,51
-0.625,-0.125,0.125,51,51,51
-0.625,-0.125,0.375,51,51,51
-0.625,-0.125,0.625,51,51,51
-0.625,-0.125,0.875,51,51,51
-0.375,-0.125,-0.875,51,51,51
-0.375,-0.125,-0.625,51,51,51
-0.375,-0.125,-0.375,51,51,51
-0.375,-0.125,-0.125,51,51,51
-0.375,-0.125,0.125,51,51,51
-0.375,-0.125,0.375,51,51,51
-0.375,-0.125,0.625,51,51,51
-0.375,-0.125,0.875,51,51,51
-0.125,-0.125,-0.875,51,51,51
-0.125,-0.125,-0.625,51,51,51
-0.125,-0.125,-0.375,51,51,51
-0.125,-0.125,-0.125,51,51,51
-0.125,-0.125,0.125,51,51,51
-0.125,-0.125,0.375,51,51,51
-0.125,-0.125,0.625,51,51,51
-0.125,-0.125,0.875,51,51,51
0.125,-0.125,-0.875,7,7,7
0.125,-0.125,-0.625,7,7,7
0.125,-0.125,-0.375,7,7,7
0.125,-0.125,-0.125,7,7,7
0.125,-0.125,0.125,7,7,7
0.125,-0.125,0.375,7,7,7
0.125,-0.125,0.625,7,7,7
0.125,-0.125,0.875,7,7,7
0.375,-0.125,-0.875,51,51,51
0.375,-0.125,-0.625,51,51,51
0.375,-0.125,-0.375,51,51,51
0.375,-0.125,-0.125,51,51,51
0.375,-0.125,0.125,51,51,51
0.375,-0.125,0.375,51,51,51
0.375,-0.125,0.625,51,51,51
0.375,-0.125,0.875,51,51,51
0.625,-0.125,-0.875,51,51,51
0.625,-0.125,-0.625,51,51,51
0.625,-0.125,-0.375,51,51,51
0.625,-0.125,-0.125,51,51,51
0.625,-0.125,0.125,51,51,51
0.625,-0.125,0.375,51,51,51
0.625,-0.125,0.625,51,51,51
0.625,-0.125,0.875,51,51,51
0.875,-0.125,-0.875,87,87,87
0.875,-0.125,-0.625,87,87,87
0.875,-0.125,-0.375,87,87,87
0.875,-0.125,-0.125,87,87,87
0.875,-0.125,0.125,87,87,87
0.875,-0.125,0.375,87,87,87
0.875,-0.125,0.625,87,87,87
0.875,-0.125,0.875,87,87,87
-0.875,0.125,-0.875,51,51,51
-0.875,0.125,-0.625,51,51,51
-0.875,0.125,-0.375,51,51,51
-0.875,0.125,-0.125,51,51,51
-0.875,0.125,0.125,51,51,51
-0.875,0.125,0.375,51,51,51
-0.875,0.125,0.625,51,51,51
-0.875,0.125,0.875,51,51,51
-0.625,0.125,-0.875,51,51,51
-0.625,0.125,-0.625,51,51,51
-0.625,0.125,-0.375,51,51,51
-0.625,0.125,-0.125,51,51,51
-0.625,0.125,0.125,51,51,51
-0.625,0.125,0.375,51,51,51
-0.625,0.125,0.625,51,51,51
-0.625,0.125,0.875,51,51,51
-0.375,0.125,-0.875,51,51,51
-0.375,0.125,-0.625,51,51,51
-0.375,0.125,-0.375,51,51,51
-0.375,0.125,-0.125,51,51,51
-0.375,0.125,0.125,51,51,51
-0.375,0.125,0.375,51,51,51
-0.375,0.125,0.625,51,51,51
-0.375,0.125,0.875,51,51,51
-0.125,0.125,-0.875,87,87,87
-0.125,0.125,-0.625,87,87,87
-0.125,0.125,-0.375,87,87,87
-0.125,0.125,-0.125,87,87,87
-0.125,0.125,0.125,87,87,87
-0.125,0.125,0.375,87,87,87
-0.125,0.125,0.625,87,87,87
-0.125,0.125,0.875,87,87,87
0.125,0.125,-0.875,87,87,87
0.125,0.125,-0.625,87,87,87
0.125,0.125,-0.375,87,87,87
0.125,0.125,-0.125,87,87,87
0.125,0.125,0.125,87,87,87
0.125,0.125,0.375,87,87,87
0.125,0.125,0.625,87,87,87
0.125,0.125,0.875,87,87,87
0.375,0.125,-0.875,51,51,51
0.375,0.125,-0.625,51,51,51
0.375,0.125,-0.375,51,51,51
0.375,0.125,-0.125,51,51,51
0.375,0.125,0.125,51,51,51
0.375,0.125,0.375,51,51,51
0.375,0.125,0.625,51,51,51
0.375,0.125,0.875,51,51,51
0.625,0.125,-0.875,51,51,51
0.625,0.125,-0.625,51,51,51
0.625,0.125,-0.375,51,51,51
0.625,0.125,-0.125,51,51,51
0.625,0.125,0.125,51,51,51
0.625,0.125,0.375,51,51,51
0.625,0.125,0.625,51,51,51
0.625,0.125,0.875,51,51,51
0.875,0.125,-0.875,87,87,87
0.875,0.125,-0.625,87,87,87
0.875,0.125,-0.375,87,87,87
0.875,0.125,-0.125,87,87,87
0.875,0.125,0.125,87,87,87
0.875,0.125,0.375,87,87,87
0.875,0.125,0.625,87,87,87
0.875,0.125,0.875,87,87,87
-0.875,0.375,-0.875,87,87,87
-0.875,0.375,-0.625,87,87,87
-0.875,0.375,-0.375,87,87,87
-0.875,0.375,-0.125,87,87,87
-0.875,0.375,0.125,87,87,87
-0.875,0.375,0.375,87,87,87
-0.875,0.375,0.625,87,87,87
-0.875,0.375,0.875,87,87,87
-0.625,0.375,-0.875,87,87,87
-0.625,0.375,-0.625,87,87,87
-0.625,0.375,-0.375,87,87,87
-0.625,0.375,-0.125,87,87,87
-0.625,0.375,0.125,87,87,87
-0.625,0.375,0.375,87,87,87
-0.625,0.375,0.625,87,87,87
-0.625,0.375,0.875,87,87,87
-0.375,0.375,-0.875,87,87,87
-0.375,0.375,-0.625,87,87,87
-0.375,0.375,-0.375,87,87,87
-0.375,0.375,-0.125,87,87,87
-0.375,0.375,0.125,87,87,87
-0.375,0.375,0.375,87,87,87
-0.375,0.375,0.625,87,87,87
-0.375,0.375,0.875,87,87,87
-0.125,0.375,-0.875,87,87,87
-0.125,0.375,-0.625,87,87,87
-0.125,0.375,-0.375,87,87,87
-0.125,0.375,-0.125,87,87,87
-0.125,0.375,0.125,87,87,87
-0.125,0.375,0.375,87,87,87
-0.125,0.375,0.625,87,87,87
-0.125,0.375,0.875,87,87,87
0.125,0.375,-0.875,151,151,151
0.125,0.375,-0.625,151,151,151
0.125,0.375,-0.375,151,151,151
0.125,0.375,-0.125,151,151,151
0.125,0.375,0.125,151,151,151
0.125,0.375,0.375,151,151,151
0.125,0.375,0.625,151,151,151
0.125,0.375,0.875,151,151,151
0.375,0.375,-0.875,87,87,87
0.375,0.375,-0.625,87,87,87
0.375,0.375,-0.375,87,87,87
0.375,0.375,-0.125,87,87,87
0.375,0.375,0.125,87,87,87
0.375,0.375,0.375,87,87,87
0.375,0.375,0.625,87,87,87
0.375,0.375,0.875,87,87,87
0.625,0.375,-0.875,151,151,151
0.625,0.375,-0.625,151,151,151
0.625,0.375,-0.375,151,151,151
0.625,0.375,-0.125,151,151,151
0.625,0.375,0.125,151,151,151
0.625,0.375,0.375,151,151,151
0.625,0.375,0.625,151,151,151
0.625,0.375,0.875,151,151,151
0.875,0.375,-0.875,7,7,7
0.875,0.375,-0.625,7,7,7
0.875,0.375,-0.375,7,7,7
0.875,0.375,-0.125,7,7,7
0.875,0.375,0.125,7,7,7
0.875,0.375,0.375,7,7,7
0.875,0.375,0.625,7,7,7
0.875,0.375,0.875,7,7,7
-0.875,0.625,-0.875,151,151,151
-0.875,0.625,-0.625,151,151,151
-0.875,0.625,-0.375,151,151,151
-0.875,0.625,-0.125,151,151,151
-0.875,0.625,0.125,151,151,151
-0.875,0.625,0.375,151,151,151
-0.875,0.625,0.625,151,151,151
-0.875,0.625,0.875,151,151,151
-0.625,0.625,-0.875,151,151,151
-0.625,0.625,-0.625,151,151,151
-0.625,0.625,-0.375,151,151,151
-0.625,0.625,-0.125,151,151,151
-0.625,0.625,0.125,151,151,151
-0.625,0.625,0.375,151,151,151
-0.625,0.625,0.625,151,151,151
-0.625,0.625,0.875,151,151,151
-0.375,0.625,-0.875,87,87,87
-0.375,0.625,-0.625,87,87,87
-0.375,0.625,-0.375,87,87,87
-0.375,0.625,-0.125,87,87,87
-0.375,0.625,0.125,87,87,87
-0.375,0.625,0.375,87,87,87
-0.375,0.625,0.625,87,87,87
-0.375,0.625,0.875,87,87,87
-0.125,0.625,-0.875,51,51,51
-0.125,0.625,-0.625,51,51,51
-0.125,0.625,-0.375,51,51,51
-0.125,0.625,-0.125,51,51,51
-0.125,0.625,0.125,51,51,51
-0.125,0.625,0.375,51,51,51
-0.125,0.625,0.625,51,51,51
-0.125,0.625,0.875,51,51,51
0.125,0.625,-0.875,51,51,51
0.125,0.625,-0.625,51,51,51
0.125,0.625,-0.375,51,51,51
0.125,0.625,-0.125,51,51,51
0.125,0.625,0.125,51,51,51
0.125,0.625,0.375,51,51,51
0.125,0.625,0.625,51,51,51
0.125,0.625,0.875,51,51,51
0.375,0.625,-0.875,51,51,51
0.375,0.625,-0.625,51,51,51
0.375,0.625,-0.375,51,51,51
0.375,0.625,-0.125,51,51,51
0.375,0.625,0.125,51,51,51
0.375,0.625,0.375,51,51,51
0.375,0.625,0.625,51,51,51
0.375,0.625,0.875,51,51,51
0.625,0.625,-0.875,87,87,87
0.625,0.625,-0.625,87,87,87
0.625,0.625,-0.375,87,87,87
0.625,0.625,-0.125,87,87,87
0.625,0.625,0.125,87,87,87
0.625,0.625,0.375,87,87,87
0.625,0.625,0.625,87,87,87
0.625,0.625,0.875,87,87,87
0.875,0.625,-0.875,151,151,151
0.875,0.625,-0.625,151,151,151
0.875,0.625,-0.375,151,151,151
0.875,0.625,-0.125,151,151,151
0.875,0.625,0.125,151,151,151
0.875,0.625,0.375,151,151,151
0.875,0.625,0.625,151,151,151
0.875,0.625,0.875,151,151,151
-0.875,0.875,-0.875,51,51,51
-0.875,0.875,-0.625,51,51,51
-0.875,0.875,-0.375,51,51,51
-0.875,0.875,-0.125,51,51,51
-0.875,0.875,0.125,51,51,51
-0.875,0.875,0.375,51,51,51
-0.875,0.875,0.625,51,51,51
-0.875,0.875,0.875,51,51,51
-0.625,0.875,-0.875,51,51,51
-0.625,0.875,-0.625,51,51,51
-0.625,0.875,-0.375,51,51,51
-0.625,0.875,-0.125,51,51,51
-0.625,0.875,0.125,51,51,51
-0.625,0.875,0.375,51,51,51
-0.625,0.875,0.625,51,51,51
-0.625,0.875,0.875,51,51,51
-0.375,0.875,-0.875,151,151,151
-0.375,0.875,-0.625,151,151,151
-0.375,0.875,-0.375,151,151,151
-0.375,0.875,-0.125,151,151,151
-0.375,0.875,0.125,151,151,151
-0.375,0.875,0.375,151,151,151
-0.375,0.875,0.625,151,151,151
-0.375,0.875,0.875,151,151,151
-0.125,0.875,-0.875,87,87,87
-0.125,0.875,-0.625,87,87,87
-0.125,0.875,-0.375,87,87,87
-0.125,0.875,-0.125,87,87,87
-0.125,0.875,0.125,87,87,87
-0.125,0.875,0.375,87,87,87
-0.125,0.875,0.625,87,87,87
-0.125,0.875,0.875,87,87,87
0.125,0.875,-0.875,87,87,87
0.125,0.875,-0.625,87,87,87
0.125,0.875,-0.375,87,87,87
0.125,0.875,-0.125,87,87,87
0.125,0.875,0.125,87,87,87
0.125,0.875,0.375,87,87,87
0.125,0.875,0.625,87,87,87
0.125,0.875,0.875,87,87,87
0.375,0.875,-0.875,51,51,51
0.375,0.875,-0.625,51,51,51
0.375,0.875,-0.375,51,51,51
0.375,0.875,-0.125,51,51,51
0.375,0.875,0.125,51,51,51
0.375,0.875,0.375,51,51,51
0.375,0.875,0.625,51,51,51
0.375,0.875,0.875,51,51,51
0.625,0.875,-0.875,51,51,51
0.625,0.875,-0.625,51,51,51
0.625,0.875,-0.375,51,51,51
0.625,0.875,-0.125,51,51,51
0.625,0.875,0.125,51,51,51
0.625,0.875,0.375,51,51,51
0.625,0.875,0.625,51,51,51
0.625,0.875,0.875,51,51,51
0.875,0.875,-0.875,87,87,87
0.875,0.875,-0.625,87,87,87
0.875,0.875,-0.375,87,87,87
0.875,0.875,-0.125,87,87,87
0.875,0.875,0.125,87,87,87
0.875,0.875,0.375,87,87,87
0.875,0.875,0.625,87,87,87
0.875,0.875,0.875,87,87,87
