x,y,z,r,g,b
0.429,0.714,1.000,124,69,54
0.714,0.714,1.000,126,69,54
1.000,0.714,1.000,175,157,151
-1.000,1.000,1.000,157,137,133
-0.714,1.000,1.000,158,140,134
-0.429,1.000,1.000,158,140,134
-0.143,1.000,1.000,177,159,153
0.143,1.000,1.000,158,138,132
0.429,1.000,1.000,158,138,132
0.714,1.000,1.000,158,138,132
1.000,1.000,1.000,172,153,148
-1.000,-1.000,-1.000,124,69,54
-0.714,-1.000,-1.000,183,165,159
-0.429,-1.000,-1.000,124,69,54
-0.143,-1.000,-1.000,103,57,45
0.143,-1.000,-1.000,118,66,50
0.429,-1.000,-1.000,175,157,151
0.714,-1.000,-1.000,127,70,55
1.000,-1.000,-1.000,126,69,54
-1.000,-0.714,-1.000,159,140,135
-0.714,-0.714,-1.000,177,159,153
-0.429,-0.714,-1.000,158,138,132
-0.143,-0.714,-1.000,155,136,131
0.143,-0.714,-1.000,160,140,134
0.429,-0.714,-1.000,181,163,157
0.714,-0.714,-1.000,158,138,132
1.000,-0.714,-1.000,163,145,139
-1.000,-0.429,-1.000,124,69,54
-0.714,-0.429,-1.000,124,69,54
-0.429,-0.429,-1.000,124,69,54
-0.143,-0.429,-1.000,175,157,151
0.143,-0.429,-1.000,124,69,54
0.429,-0.429,-1.000,124,69,54
0.714,-0.429,-1.000,124,69,54
1.000,-0.429,-1.000,177,159,153
-1.000,-0.143,-1.000,158,138,132
-0.714,-0.143,-1.000,156,138,132
-0.429,-0.143,-1.000,160,140,134
-0.143,-0.143,-1.000,177,159,153
0.143,-0.143,-1.000,158,138,132
0.429,-0.143,-1.000,158,138,132
0.714,-0.143,-1.000,158,138,132
1.000,-0.143,-1.000,177,159,153
-1.000,0.143,-1.000,124,69,54
-0.714,0.143,-1.000,173,153,149
-0.429,0.143,-1.000,124,69,54
-0.143,0.143,-1.000,124,69,54
0.143,0.143,-1.000,137,76,59
0.429,0.143,-1.000,171,152,147
0.714,0.143,-1.000,136,76,58
1.000,0.143,-1.000,124,69,54
-1.000,0.429,-1.000,158,138,132
-0.714,0.429,-1.000,177,159,153
-0.429,0.429,-1.000,158,138,132
-0.143,0.429,-1.000,158,138,132
0.143,0.429,-1.000,158,138,132
0.429,0.429,-1.000,178,160,154
0.714,0.429,-1.000,160,142,136
1.000,0.429,-1.000,158,138,132
-1.000,0.714,-1.000,124,69,54
-0.714,0.714,-1.000,124,69,54
-0.429,0.714,-1.000,124,69,54
-0.143,0.714,-1.000,171,151,147
0.143,0.714,-1.000,121,67,53
0.429,0.714,-1.000,124,69,54
0.714,0.714,-1.000,126,69,54
1.000,0.714,-1.000,175,157,151
-1.000,1.000,-1.000,157,137,133
-0.714,1.000,-1.000,158,140,134
-0.429,1.000,-1.000,158,140,134
-0.143,1.000,-1.000,177,159,153
0.143,1.000,-1.000,158,138,132
0.429,1.000,-1.000,158,138,132
0.714,1.000,-1.000,158,138,132
1.000,1.000,-1.000,172,153,148
-1.000,1.000,-1.000,124,69,54
-0.714,1.000,-1.000,183,165,159
-0.429,1.000,-1.000,124,69,54
-0.143,1.000,-1.000,103,57,45
0.143,1.000,-1.000,118,66,50
0.429,1.000,-1.000,175,157,151
0.714,1.000,-1.000,127,70,55
1.000,1.000,-1.000,126,69,54
-1.000,1.000,-0.714,159,140,135
-0.714,1.000,-0.714,177,159,153
-0.429,1.000,-0.714,158,138,132
-0.143,1.000,-0.714,155,136,131
0.143,1.000,-0.714,160,140,134
0.429,1.000,-0.714,181,163,157
0.714,1.000,-0.714,158,138,132
1.000,1.000,-0.714,163,145,139
-1.000,1.000,-0.429,124,69,54
-0.714,1.000,-0.429,124,69,54
-0.429,1.000,-0.429,124,69,54
-0.143,1.000,-0.429,175,157,151
0.143,1.000,-0.429,124,69,54
0.429,1.000,-0.429,124,69,54
0.714,1.000,-0.429,124,69,54
1.000,1.000,-0.429,177,159,153
-1.000,1.000,-0.143,158,138,132
-0.714,1.000,-0.143,156,138,132
-0.429,1.000,-0.143,160,140,134
-0.143,1.000,-0.143,177,159,153
0.143,1.000,-0.143,158,138,132
0.429,1.000,-0.143,158,138,132
0.714,1.000,-0.143,158,138,132
1.000,1.000,-0.143,177,159,153
-1.000,1.000,0.143,124,69,54
-0.714,1.000,0.143,173,153,149
-0.429,1.000,0.143,124,69,54
-0.143,1.000,0.143,124,69,54
0.143,1.000,0.143,137,76,59
0.429,1.000,0.143,171,152,147
0.714,1.000,0.143,136,76,58
1.000,1.000,0.143,124,69,54
-1.000,1.000,0.429,158,138,132
-0.714,1.000,0.429,177,159,153
-0.429,1.000,0.429,158,138,132
-0.143,1.000,0.429,158,138,132
0.143,1.000,0.429,158,138,132
0.429,1.000,0.429,178,160,154
0.714,1.000,0.429,160,142,136
1.000,1.000,0.429,158,138,132
-1.000,1.000,0.714,124,69,54
-0.714,1.000,0.714,124,69,54
-0.429,1.000,0.714,124,69,54
-0.143,1.000,0.714,171,151,147
0.143,1.000,0.714,121,67,53
0.429,1.000,0.714,124,69,54
0.714,1.000,0.714,126,69,54
1.000,1.000,0.714,175,157,151
-1.000,1.000,1.000,157,137,133
-0.714,1.000,1.000,158,140,134
-0.429,1.000,1.000,158,140,134
-0.143,1.000,1.000,177,159,153
0.143,1.000,1.000,158,138,132
0.429,1.000,1.000,158,138,132
0.714,1.000,1.000,158,138,132
1.000,1.000,1.000,172,153,148
-1.000,-1.000,-1.000,124,69,54
-0.714,-1.000,-1.000,183,165,159
-0.429,-1.000,-1.000,124,69,54
-0.143,-1.000,-1.000,103,57,45
0.143,-1.000,-1.000,118,66,50
0.429,-1.000,-1.000,175,157,151
0.714,-1.000,-1.000,127,70,55
1.000,-1.000,-1.000,126,69,54
-1.000,-1.000,-0.714,159,140,135
-0.714,-1.000,-0.714,177,159,153
-0.429,-1.000,-0.714,158,138,132
-0.143,-1.000,-0.714,155,136,131
0.143,-1.000,-0.714,160,140,134
0.429,-1.000,-0.714,181,163,157
0.714,-1.000,-0.714,158,138,132
1.000,-1.000,-0.714,163,145,139
-1.000,-1.000,-0.429,124,69,54
-0.714,-1.000,-0.429,124,69,54
-0.429,-1.000,-0.429,124,69,54
-0.143,-1.000,-0.429,175,157,151
0.143,-1.000,-0.429,124,69,54
0.429,-1.000,-0.429,124,69,54
0.714,-1.000,-0.429,124,69,54
1.000,-1.000,-0.429,177,159,153
-1.000,-1.000,-0.143,158,138,132
-0.714,-1.000,-0.143,156,138,132
-0.429,-1.000,-0.143,160,140,134
-0.143,-1.000,-0.143,177,159,153
0.143,-1.000,-0.143,158,138,132
0.429,-1.000,-0.143,158,138,132
0.714,-1.000,-0.143,158,138,132
1.000,-1.000,-0.143,177,159,153
-1.000,-1.000,0.143,124,69,54
-0.714,-1.000,0.143,173,153,149
-0.429,-1.000,0.143,124,69,54
-0.143,-1.000,0.143,124,69,54
0.143,-1.000,0.143,137,76,59
0.429,-1.000,0.143,171,152,147
0.714,-1.000,0.143,136,76,58
1.000,-1.000,0.143,124,69,54
-1.000,-1.000,0.429,158,138,132
-0.714,-1.000,0.429,177,159,153
-0.429,-1.000,0.429,158,138,132
-0.143,-1.000,0.429,158,138,132
0.143,-1.000,0.429,158,138,132
0.429,-1.000,0.429,178,160,154
0.714,-1.000,0.429,160,142,136
1.000,-1.000,0.429,158,138,132
-1.000,-1.000,0.714,124,69,54
-0.714,-1.000,0.714,124,69,54
-0.429,-1.000,0.714,124,69,54
-0.143,-1.000,0.714,171,151,147
0.143,-1.000,0.714,121,67,53
0.429,-1.000,0.714,124,69,54
0.714,-1.000,0.714,126,69,54
1.000,-1.000,0.714,175,157,151
-1.000,-1.000,1.000,157,137,133
-0.714,-1.000,1.000,158,140,134
-0.429,-1.000,1.000,158,140,134
-0.143,-1.000,1.000,177,159,153
0.143,-1.000,1.000,158,138,132
0.429,-1.000,1.000,158,138,132
0.714,-1.000,1.000,158,138,132
1.000,-1.000,1.000,172,153,148
1.000,-1.000,-1.000,124,69,54
1.000,-0.714,-1.000,183,165,159
1.000,-0.429,-1.000,124,69,54
1.000,-0.143,-1.000,103,57,45
1.000,0.143,-1.000,118,66,50
1.000,0.429,-1.000,175,157,151
1.000,0.714,-1.000,127,70,55
1.000,1.000,-1.000,126,69,54
1.000,-1.000,-0.714,159,140,135
1.000,-0.714,-0.714,177,159,153
1.000,-0.429,-0.714,158,138,132
1.000,-0.143,-0.714,155,136,131
1.000,0.143,-0.714,160,140,134
1.000,0.429,-0.714,181,163,157
1.000,0.714,-0.714,158,138,132
1.000,1.000,-0.714,163,145,139
1.000,-1.000,-0.429,124,69,54
1.000,-0.714,-0.429,124,69,54
1.000,-0.429,-0.429,124,69,54
1.000,-0.143,-0.429,175,157,151
1.000,0.143,-0.429,124,69,54
1.000,0.429,-0.429,124,69,54
1.000,0.714,-0.429,124,69,54
1.000,1.000,-0.429,177,159,153
1.000,-1.000,-0.143,158,138,132
1.000,-0.714,-0.143,156,138,132
1.000,-0.429,-0.143,160,140,134
1.000,-0.143,-0.143,177,159,153
1.000,0.143,-0.143,158,138,132
1.000,0.429,-0.143,158,138,132
1.000,0.714,-0.143,158,138,132
1.000,1.000,-0.143,177,159,153
1.000,-1.000,0.143,124,69,54
1.000,-0.714,0.143,173,153,149
1.000,-0.429,0.143,124,69,54
1.000,-0.143,0.143,124,69,54
1.000,0.143,0.143,137,76,59
1.000,0.429,0.143,171,152,147
1.000,0.714,0.143,136,76,58
1.000,1.000,0.143,124,69,54
1.000,-1.000,0.429,158,138,132
1.000,-0.714,0.429,177,159,153
1.000,-0.429,0.429,158,138,132
1.000,-0.143,0.429,158,138,132
1.000,0.143,0.429,158,138,132
1.000,0.429,0.429,178,160,154
1.000,0.714,0.429,160,142,136
1.000,1.000,0.429,158,138,132
1.000,-1.000,0.714,124,69,54
1.000,-0.714,0.714,124,69,54
1.000,-0.429,0.714,124,69,54
1.000,-0.143,0.714,171,151,147
1.000,0.143,0.714,121,67,53
1.000,0.429,0.714,124,69,54
1.000,0.714,0.714,126,69,54
1.000,1.000,0.714,175,157,151
1.000,-1.000,1.000,157,137,133
1.000,-0.714,1.000,158,140,134
1.000,-0.429,1.000,158,140,134
1.000,-0.143,1.000,177,159,153
1.000,0.143,1.000,158,138,132
1.000,0.429,1.000,158,138,132
1.000,0.714,1.000,158,138,132
1.000,1.000,1.000,172,153,148
-1.000,-1.000,-1.000,124,69,54
-1.000,-0.714,-1.000,183,165,159
-1.000,-0.429,-1.000,124,69,54
-1.000,-0.143,-1.000,103,57,45
-1.000,0.143,-1.000,118,66,50
-1.000,0.429,-1.000,175,157,151
-1.000,0.714,-1.000,127,70,55
-1.000,1.000,-1.000,126,69,54
-1.000,-1.000,-0.714,159,140,135
-1.000,-0.714,-0.714,177,159,153
-1.000,-0.429,-0.714,158,138,132
-1.000,-0.143,-0.714,155,136,131
-1.000,0.143,-0.714,160,140,134
-1.000,0.429,-0.714,181,163,157
-1.000,0.714,-0.714,158,138,132
-1.000,1.000,-0.714,163,145,139
-1.000,-1.000,-0.429,124,69,54
-1.000,-0.714,-0.429,124,69,54
-1.000,-0.429,-0.429,124,69,54
-1.000,-0.143,-0.429,175,157,151
-1.000,0.143,-0.429,124,69,54
-1.000,0.429,-0.429,124,69,54
-1.000,0.714,-0.429,124,69,54
-1.000,1.000,-0.429,177,159,153
-1.000,-1.000,-0.143,158,138,132
-1.000,-0.714,-0.143,156,138,132
-1.000,-0.429,-0.143,160,140,134
-1.000,-0.143,-0.143,177,159,153
-1.000,0.143,-0.143,158,138,132
-1.000,0.429,-0.143,158,138,132
-1.000,0.714,-0.143,158,138,132
-1.000,1.000,-0.143,177,159,153
-1.000,-1.000,0.143,124,69,54
-1.000,-0.714,0.143,173,153,149
-1.000,-0.429,0.143,124,69,54
-1.000,-0.143,0.143,124,69,54
-1.000,0.143,0.143,137,76,59
-1.000,0.429,0.143,171,152,147
-1.000,0.714,0.143,136,76,58
-1.000,1.000,0.143,124,69,54
-1.000,-1.000,0.429,158,138,132
-1.000,-0.714,0.429,177,159,153
-1.000,-0.429,0.429,158,138,132
-1.000,-0.143,0.429,158,138,132
-1.000,0.143,0.429,158,138,132
-1.000,0.429,0.429,178,160,154
-1.000,0.714,0.429,160,142,136
-1.000,1.000,0.429,158,138,132
-1.000,-1.000,0.714,124,69,54
-1.000,-0.714,0.714,124,69,54
-1.000,-0.429,0.714,124,69,54
-1.000,-0.143,0.714,171,151,147
-1.000,0.143,0.714,121,67,53
-1.000,0.429,0.714,124,69,54
-1.000,0.714,0.714,126,69,54
-1.000,1.000,0.714,175,157,151
-1.000,-1.000,1.000,157,137,133
-1.000,-0.714,1.000,158,140,134
-1.000,-0.429,1.000,158,140,134
-1.000,-0.143,1.000,177,159,153
-1.000,0.143,1.000,158,138,132
-1.000,0.429,1.000,158,138,132
-1.000,0.714,1.000,158,138,132
-1.000,1.000,1.000,172,153,148
