x,y,z,r,g,b
0.625,-0.375,0.875,88,61,52
-0.625,-0.125,-0.875,89,61,51
-0.625,-0.125,-0.625,89,61,51
-0.625,-0.125,-0.375,89,61,51
-0.625,-0.125,-0.125,89,61,51
-0.625,-0.125,0.125,89,61,51
-0.625,-0.125,0.375,89,61,51
-0.625,-0.125,0.625,89,61,51
-0.625,-0.125,0.875,89,61,51
-0.375,-0.125,-0.875,102,72,47
-0.375,-0.125,-0.625,102,72,47
-0.375,-0.125,-0.375,102,72,47
-0.375,-0.125,-0.125,102,72,47
-0.375,-0.125,0.125,102,72,47
-0.375,-0.125,0.375,102,72,47
-0.375,-0.125,0.625,102,72,47
-0.375,-0.125,0.875,102,72,47
-0.125,-0.125,-0.875,164,125,44
-0.125,-0.125,-0.625,164,125,44
-0.125,-0.125,-0.375,164,125,44
-0.125,-0.125,-0.125,164,125,44
-0.125,-0.125,0.125,164,125,44
-0.125,-0.125,0.375,164,125,44
-0.125,-0.125,0.625,164,125,44
-0.125,-0.125,0.875,164,125,44
0.125,-0.125,-0.875,243,192,40
0.125,-0.125,-0.625,243,192,40
0.125,-0.125,-0.375,243,192,40
0.125,-0.125,-0.125,243,192,40
0.125,-0.125,0.125,243,192,40
0.125,-0.125,0.375,243,192,40
0.125,-0.125,0.625,243,192,40
0.125,-0.125,0.875,243,192,40
0.375,-0.125,-0.875,178,136,44
0.375,-0.125,-0.625,178,136,44
0.375,-0.125,-0.375,178,136,44
0.375,-0.125,-0.125,178,136,44
0.375,-0.125,0.125,178,136,44
0.375,-0.125,0.375,178,136,44
0.375,-0.125,0.625,178,136,44
0.375,-0.125,0.875,178,136,44
0.625,-0.125,-0.875,89,61,50
0.625,-0.125,-0.625,89,61,50
0.625,-0.125,-0.375,89,61,50
0.625,-0.125,-0.125,89,61,50
0.625,-0.125,0.125,89,61,50
0.625,-0.125,0.375,89,61,50
0.625,-0.125,0.625,89,61,50
0.625,-0.125,0.875,89,61,50
0.875,-0.125,-0.875,10,7,5
0.875,-0.125,-0.625,10,7,5
0.875,-0.125,-0.375,10,7,5
0.875,-0.125,-0.125,10,7,5
0.875,-0.125,0.125,10,7,5
0.875,-0.125,0.375,10,7,5
0.875,-0.125,0.625,10,7,5
0.875,-0.125,0.875,10,7,5
-0.625,0.125,-0.875,106,75,47
-0.625,0.125,-0.625,106,75,47
-0.625,0.125,-0.375,106,75,47
-0.625,0.125,-0.125,106,75,47
-0.625,0.125,0.125,106,75,47
-0.625,0.125,0.375,106,75,47
-0.625,0.125,0.625,106,75,47
-0.625,0.125,0.875,106,75,47
-0.375,0.125,-0.875,183,144,50
-0.375,0.125,-0.625,183,144,50
-0.375,0.125,-0.375,183,144,50
-0.375,0.125,-0.125,183,144,50
-0.375,0.125,0.125,183,144,50
-0.375,0.125,0.375,183,144,50
-0.375,0.125,0.625,183,144,50
-0.375,0.125,0.875,183,144,50
-0.125,0.125,-0.875,230,181,43
-0.125,0.125,-0.625,230,181,43
-0.125,0.125,-0.375,230,181,43
-0.125,0.125,-0.125,230,181,43
-0.125,0.125,0.125,230,181,43
-0.125,0.125,0.375,230,181,43
-0.125,0.125,0.625,230,181,43
-0.125,0.125,0.875,230,181,43
0.125,0.125,-0.875,242,191,42
0.125,0.125,-0.625,242,191,42
0.125,0.125,-0.375,242,191,42
0.125,0.125,-0.125,242,191,42
0.125,0.125,0.125,242,191,42
0.125,0.125,0.375,242,191,42
0.125,0.125,0.625,242,191,42
0.125,0.125,0.875,242,191,42
0.375,0.125,-0.875,169,134,52
0.375,0.125,-0.625,169,134,52
0.375,0.125,-0.375,169,134,52
0.375,0.125,-0.125,169,134,52
0.375,0.125,0.125,169,134,52
0.375,0.125,0.375,169,134,52
0.375,0.125,0.625,169,134,52
0.375,0.125,0.875,169,134,52
0.625,0.125,-0.875,140,105,45
0.625,0.125,-0.625,140,105,45
0.625,0.125,-0.375,140,105,45
0.625,0.125,-0.125,140,105,45
0.625,0.125,0.125,140,105,45
0.625,0.125,0.375,140,105,45
0.625,0.125,0.625,140,105,45
0.625,0.125,0.875,140,105,45
0.875,0.125,-0.875,11,7,6
0.875,0.125,-0.625,11,7,6
0.875,0.125,-0.375,11,7,6
0.875,0.125,-0.125,11,7,6
0.875,0.125,0.125,11,7,6
0.875,0.125,0.375,11,7,6
0.875,0.125,0.625,11,7,6
0.875,0.125,0.875,11,7,6
-0.625,0.375,-0.875,112,81,47
-0.625,0.375,-0.625,112,81,47
-0.625,0.375,-0.375,112,81,47
-0.625,0.375,-0.125,112,81,47
-0.625,0.375,0.125,112,81,47
-0.625,0.375,0.375,112,81,47
-0.625,0.375,0.625,112,81,47
-0.625,0.375,0.875,112,81,47
-0.375,0.375,-0.875,220,176,44
-0.375,0.375,-0.625,220,176,44
-0.375,0.375,-0.375,220,176,44
-0.375,0.375,-0.125,220,176,44
-0.375,0.375,0.125,220,176,44
-0.375,0.375,0.375,220,176,44
-0.375,0.375,0.625,220,176,44
-0.375,0.375,0.875,220,176,44
-0.125,0.375,-0.875,246,192,37
-0.125,0.375,-0.625,246,192,37
-0.125,0.375,-0.375,246,192,37
-0.125,0.375,-0.125,246,192,37
-0.125,0.375,0.125,246,192,37
-0.125,0.375,0.375,246,192,37
-0.125,0.375,0.625,246,192,37
-0.125,0.375,0.875,246,192,37
0.125,0.375,-0.875,251,194,35
0.125,0.375,-0.625,251,194,35
0.125,0.375,-0.375,251,194,35
0.125,0.375,-0.125,251,194,35
0.125,0.375,0.125,251,194,35
0.125,0.375,0.375,251,194,35
0.125,0.375,0.625,251,194,35
0.125,0.375,0.875,251,194,35
0.375,0.375,-0.875,212,170,45
0.375,0.375,-0.625,212,170,45
0.375,0.375,-0.375,212,170,45
0.375,0.375,-0.125,212,170,45
0.375,0.375,0.125,212,170,45
0.375,0.375,0.375,212,170,45
0.375,0.375,0.625,212,170,45
0.375,0.375,0.875,212,170,45
0.625,0.375,-0.875,139,103,45
0.625,0.375,-0.625,139,103,45
0.625,0.375,-0.375,139,103,45
0.625,0.375,-0.125,139,103,45
0.625,0.375,0.125,139,103,45
0.625,0.375,0.375,139,103,45
0.625,0.375,0.625,139,103,45
0.625,0.375,0.875,139,103,45
0.875,0.375,-0.875,4,3,2
0.875,0.375,-0.625,4,3,2
0.875,0.375,-0.375,4,3,2
0.875,0.375,-0.125,4,3,2
0.875,0.375,0.125,4,3,2
0.875,0.375,0.375,4,3,2
0.875,0.375,0.625,4,3,2
0.875,0.375,0.875,4,3,2
-0.625,0.625,-0.875,87,61,44
-0.625,0.625,-0.625,87,61,44
-0.625,0.625,-0.375,87,61,44
-0.625,0.625,-0.125,87,61,44
-0.625,0.625,0.125,87,61,44
-0.625,0.625,0.375,87,61,44
-0.625,0.625,0.625,87,61,44
-0.625,0.625,0.875,87,61,44
-0.375,0.625,-0.875,243,192,40
-0.375,0.625,-0.625,243,192,40
-0.375,0.625,-0.375,243,192,40
-0.375,0.625,-0.125,243,192,40
-0.375,0.625,0.125,243,192,40
-0.375,0.625,0.375,243,192,40
-0.375,0.625,0.625,243,192,40
-0.375,0.625,0.875,243,192,40
-0.125,0.625,-0.875,212,164,49
-0.125,0.625,-0.625,212,164,49
-0.125,0.625,-0.375,212,164,49
-0.125,0.625,-0.125,212,164,49
-0.125,0.625,0.125,212,164,49
-0.125,0.625,0.375,212,164,49
-0.125,0.625,0.625,212,164,49
-0.125,0.625,0.875,212,164,49
0.125,0.625,-0.875,204,157,51
0.125,0.625,-0.625,204,157,51
0.125,0.625,-0.375,204,157,51
0.125,0.625,-0.125,204,157,51
0.125,0.625,0.125,204,157,51
0.125,0.625,0.375,204,157,51
0.125,0.625,0.625,204,157,51
0.125,0.625,0.875,204,157,51
0.375,0.625,-0.875,250,198,40
0.375,0.625,-0.625,250,198,40
0.375,0.625,-0.375,250,198,40
0.375,0.625,-0.125,250,198,40
0.375,0.625,0.125,250,198,40
0.375,0.625,0.375,250,198,40
0.375,0.625,0.625,250,198,40
0.375,0.625,0.875,250,198,40
0.625,0.625,-0.875,106,75,48
0.625,0.625,-0.625,106,75,48
0.625,0.625,-0.375,106,75,48
0.625,0.625,-0.125,106,75,48
0.625,0.625,0.125,106,75,48
0.625,0.625,0.375,106,75,48
0.625,0.625,0.625,106,75,48
0.625,0.625,0.875,106,75,48
-0.625,0.875,-0.875,64,44,37
-0.625,0.875,-0.625,64,44,37
-0.625,0.875,-0.375,64,44,37
-0.625,0.875,-0.125,64,44,37
-0.625,0.875,0.125,64,44,37
-0.625,0.875,0.375,64,44,37
-0.625,0.875,0.625,64,44,37
-0.625,0.875,0.875,64,44,37
-0.375,0.875,-0.875,107,78,40
-0.375,0.875,-0.625,107,78,40
-0.375,0.875,-0.375,107,78,40
-0.375,0.875,-0.125,107,78,40
-0.375,0.875,0.125,107,78,40
-0.375,0.875,0.375,107,78,40
-0.375,0.875,0.625,107,78,40
-0.375,0.875,0.875,107,78,40
-0.125,0.875,-0.875,195,153,36
-0.125,0.875,-0.625,195,153,36
-0.125,0.875,-0.375,195,153,36
-0.125,0.875,-0.125,195,153,36
-0.125,0.875,0.125,195,153,36
-0.125,0.875,0.375,195,153,36
-0.125,0.875,0.625,195,153,36
-0.125,0.875,0.875,195,153,36
0.125,0.875,-0.875,203,159,36
0.125,0.875,-0.625,203,159,36
0.125,0.875,-0.375,203,159,36
0.125,0.875,-0.125,203,159,36
0.125,0.875,0.125,203,159,36
0.125,0.875,0.375,203,159,36
0.125,0.875,0.625,203,159,36
0.125,0.875,0.875,203,159,36
0.375,0.875,-0.875,117,87,40
0.375,0.875,-0.625,117,87,40
0.375,0.875,-0.375,117,87,40
0.375,0.875,-0.125,117,87,40
0.375,0.875,0.125,117,87,40
0.375,0.875,0.375,117,87,40
0.375,0.875,0.625,117,87,40
0.375,0.875,0.875,117,87,40
0.625,0.875,-0.875,73,50,42
0.625,0.875,-0.625,73,50,42
0.625,0.875,-0.375,73,50,42
0.625,0.875,-0.125,73,50,42
0.625,0.875,0.125,73,50,42
0.625,0.875,0.375,73,50,42
0.625,0.875,0.625,73,50,42
0.625,0.875,0.875,73,50,42
